 Date: 30/06/2021                                                            - ANALYSE CA CLIENT par ARTICLE -                                                            Page   1
 Societe :ALINE TAHITI S.A.             

REPRES ;Code ;Nom du client ;Categ. client ;DEPART ;REFERENCE ;DESIGNATION ;REGROUP ;QTE ;C.A. NET ;Remise ;MARGE ;% MRG ;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014306;NARTA DEO ROL F BIO EFF 50ML  ;0150;       12.00;       4608;          0;       2437;   52.89;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014308;NARTA DEO ROL F T NACRE 50ML  ;0150;       12.00;       4608;          0;       2227;   48.33;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014314;NARTA DEO ROL F PROTECTION 50M;0150;       12.00;       4608;          0;       2374;   51.52;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014316;NARTA DEO ROL F IMPECCAB 50ML ;0150;       12.00;       4608;          0;       2321;   50.37;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014322;NARTA DEO ROL F PEAU PARF 50ML;0150;       12.00;       4608;          0;       2232;   48.44;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014326;NARTA DEO ROL F FRESHISSIM 50M;0150;       12.00;       4608;          0;       2286;   49.61;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014814;USHU DEO ROL F GRENADE 50ML   ;0148;       84.00;      32676;          0;      16291;   49.86;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014816;USHU DEO ROL F VANILLE 50ML   ;0148;       24.00;       9336;          0;       4869;   52.15;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014842;USHU DEO ROL F POL MONOI 50ML ;0148;       12.00;       4668;          0;       2389;   51.18;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21014858;USHU DEO ROL F JAP SAKURA 50ML;0148;       24.00;       4668;       4668;         92;    1.97;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21019500;NARTA DEO ROL H NORD EXT 50ML ;0150;       12.00;       4608;          0;       2326;   50.48;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21019502;NARTA DEO ROL H CLASSIC 50ML  ;0150;       12.00;       4608;          0;       2390;   51.87;
18;0040;AFO & FILS SARL MAHINA        ;A;01;21019506;NARTA DEO ROL H INVI MAX 50ML ;0150;       12.00;       4608;          0;       2376;   51.56;
18;0040;AFO & FILS SARL MAHINA        ;A;01;31010535;KOTEX MAXI X16                ;0100;       72.00;      18792;       4104;       8672;   46.15;
18;0040;AFO & FILS SARL MAHINA        ;A;01;31010540;KOTEX SLIM X10                ;0100;       98.00;      15190;       1666;       5778;   38.04;
18;0040;AFO & FILS SARL MAHINA        ;A;01;31010553;KOTEX OVERNIGHT X12           ;0100;       72.00;      18792;       2088;       7569;   40.28;
18;0040;AFO & FILS SARL MAHINA        ;A;01;31120004;HUG.BIG PACK X66 T4           ;0105;        5.00;      11855;          0;       2214;   18.68;
18;0040;AFO & FILS SARL MAHINA        ;A;01;31120008;HUG.BIG PACK X56 T5           ;0105;        5.00;      11855;          0;       2312;   19.50;
18;0040;AFO & FILS SARL MAHINA        ;A;01;31910421;BBC. BAIGNOIRE AV VIDANGE     ;0100;        1.00;       3490;          0;       1748;   50.09;
18;0040;AFO & FILS SARL MAHINA        ;A;01;;TOTAL DEPARTEMENT;;;     286692;      38329;     106851;   37.27;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10012364;XTRA 60D TOTAL 3L             ;0607;       40.00;      40800;      15360;      14994;   36.75;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10012366;XTRA 60D FRESH 3L             ;0607;       40.00;      40800;      15360;       4427;   10.85;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10012523;SCROIX 43D JAPON 2.15L        ;0604;       20.00;      16400;       8340;       5236;   31.93;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10012544;SCROIX 60D BORA 3L            ;0604;       40.00;      40800;      31520;       7511;   18.41;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10013120;XTRA TOTAL 70D 3.85K       PPN;0607;       15.00;      14670;          0;       2651;   18.07;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10013121;XTRA ALOE 70D 3.85K        PPN;0607;       10.00;       9780;          0;       1770;   18.10;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10030496;PAL ST ALGUE 500 BLOND FONCE  ;0689;        6.00;       3090;        594;       1526;   49.39;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10030500;PAL ST.ALGUE 660 CHAT.CARAMEL ;0689;        6.00;       3090;        594;       1527;   49.42;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10030506;PAL ST.ALGUE 600 CHATAIN CLAIR;0689;        6.00;       3090;        594;       1526;   49.39;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10030508;PAL ST.ALGUE 650 CHAT.ACAJOU  ;0689;       12.00;       6180;       1188;       3055;   49.43;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10030510;PAL ST.ALGUE 750 CHATAIN DORE ;0689;        6.00;       3090;        594;       1525;   49.35;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10510010;PLIZ REVITALISER 250ML        ;0627;       13.00;       4788;        399;       1751;   36.57;
16;0040;AFO & FILS SARL MAHINA        ;A;06;10510621;CANARD SENTEUR 3 BLOCS MARINE ;0629;        6.00;       2238;          0;       1144;   51.12;
16;0040;AFO & FILS SARL MAHINA        ;A;06;16110300;SPA.CRESYL DESINFECTANT 1L    ;0600;       13.00;      12360;       1030;       3987;   32.26;
16;0040;AFO & FILS SARL MAHINA        ;A;06;17510581;SAN.LESSIVE 17D DESINF 1.65L  ;0696;       60.00;      63000;      12780;      28394;   45.07;
16;0040;AFO & FILS SARL MAHINA        ;A;06;;TOTAL DEPARTEMENT;;;     264176;      88353;      81024;   30.67;
16;0040;AFO & FILS SARL MAHINA        ;A;07;35510030;2PILES D LR20 E95BP2 .ENER.MAX;0780;       36.00;      11580;       2316;       2604;   22.49;
16;0040;AFO & FILS SARL MAHINA        ;A;07;60101000;BOOM LESSIV.POUDRE 3KG  PPN   ;0705;       25.00;      14400;          0;       2741;   19.03;
16;0040;AFO & FILS SARL MAHINA        ;A;07;60101060;DAIA LESSIV.POUD.FLOR 2.4K PPN;0705;      200.00;     119200;          0;      25548;   21.43;
16;0040;AFO & FILS SARL MAHINA        ;A;07;60101062;DAIA LESSIV.POUD.LEMON2.4K PPN;0705;       50.00;      29800;          0;       6387;   21.43;
16;0040;AFO & FILS SARL MAHINA        ;A;07;60101064;DAIA LESSIV.POUD.WHITE2.4K PPN;0705;       50.00;      29800;          0;       5884;   19.74;
16;0040;AFO & FILS SARL MAHINA        ;A;07;60101066;DAIA POUDRE 2.4K COLOR     PPN;0705;       50.00;      29800;          0;       5885;   19.75;
16;0040;AFO & FILS SARL MAHINA        ;A;07;;TOTAL DEPARTEMENT;;;     234580;       2316;      49049;   20.91;
18;0040;AFO & FILS SARL MAHINA        ;A;08;60410000;ARGO PETITS POIS 425g      PPN;0805;     1200.00;     108000;          0;      19948;   18.47;
18;0040;AFO & FILS SARL MAHINA        ;A;08;60600000;TAHITI RIZ 1KG      PPN       ;0805;     1000.00;     114000;          0;       6000;    5.26;
18;0040;AFO & FILS SARL MAHINA        ;A;08;65000013;BUND.TRADITION.LEMONAD.4X375ML;0300;       16.00;      12640;          0;       4644;   36.74;
18;0040;AFO & FILS SARL MAHINA        ;A;08;65000015;BUND.CIDRE POMME 4X375ML      ;0300;       12.00;       9480;          0;       3978;   41.96;
18;0040;AFO & FILS SARL MAHINA        ;A;08;65000017;BUND.BURGUNDEE CR.SODA 4X375ML;0300;        8.00;       6320;          0;       1410;   22.31;
18;0040;AFO & FILS SARL MAHINA        ;A;08;65001001;BUNDABERG BLOOD ORANGE 4X375ML;0300;       12.00;       9480;          0;       2114;   22.30;
18;0040;AFO & FILS SARL MAHINA        ;A;08;65001003;BUNDABERG GUAVA 4X375ML       ;0300;       16.00;      12640;          0;       2819;   22.30;
18;0040;AFO & FILS SARL MAHINA        ;A;08;65001007;BUNDABERG PECHE 4X375ML       ;0300;       16.00;      12640;          0;       2819;   22.30;
18;0040;AFO & FILS SARL MAHINA        ;A;08;65001010;BUNDABERG PAMPLEMOUS.ROSE 375M;0300;        0.00;          0;          0;          0;    0.00;
18;0040;AFO & FILS SARL MAHINA        ;A;08;;TOTAL DEPARTEMENT;;;     285200;          0;      43732;   15.33;

;         ;TOTAL Client: AFO & FILS SARL MAHINA        ;;     ;;;;;    1070648;     128998;     280656;   26.21;

16;0080;AH KIAU MAMAO                 ;M;07;11810354;MET.MOULIN JULIENNE 3GRILLES  ;0700;        2.00;       3580;          0;       1738;   48.55;
16;0080;AH KIAU MAMAO                 ;M;07;;TOTAL DEPARTEMENT;;;       3580;          0;       1738;   48.55;
16;0080;AH KIAU MAMAO                 ;M;08;60410000;ARGO PETITS POIS 425g      PPN;0805;       72.00;       6480;          0;       1197;   18.47;
16;0080;AH KIAU MAMAO                 ;M;08;;TOTAL DEPARTEMENT;;;       6480;          0;       1197;   18.47;

;         ;TOTAL Client: AH KIAU MAMAO                 ;;     ;;;;;      10060;          0;       2935;   29.17;

88;0142;L.S PROXI PAEA                ;S;01;12115005;MD CRAYON/LINER SOUR EXPR 530 ;0100;        6.00;       2304;          0;        990;   42.97;
88;0142;L.S PROXI PAEA                ;S;01;12115010;MD CRAYON/LINER SOURC EXPR 531;0100;        9.00;       3456;          0;       1491;   43.14;
88;0142;L.S PROXI PAEA                ;S;01;12115050;MD CRAYON/LINER KHOL INTEN 503;0100;       12.00;       4128;          0;       1747;   42.32;
88;0142;L.S PROXI PAEA                ;S;01;12115070;MD CRAYON/LINER STYLO 460 NOIR;0100;       12.00;       6060;          0;       2615;   43.15;
88;0142;L.S PROXI PAEA                ;S;01;12115080;MD CRAYON/LINER EYE 435 NOIR  ;0100;        6.00;       3636;          0;       1447;   39.80;
88;0142;L.S PROXI PAEA                ;S;01;12115085;MD FEUTRE LINER 458 ULTR NOIR ;0100;       12.00;       6672;          0;       2698;   40.44;
88;0142;L.S PROXI PAEA                ;S;01;12123090;G INSTITUT COUPE-ONGL PED LIME;0100;       10.00;       3130;          0;        944;   30.16;
88;0142;L.S PROXI PAEA                ;S;01;12140018;STUDIO BROSSE STYLING PM      ;0100;        3.00;        636;          0;        251;   39.47;
88;0142;L.S PROXI PAEA                ;S;01;12140019;STUDIO BROSSE PNEUM. PM PICOTS;0100;        3.00;       1212;          0;        468;   38.61;
88;0142;L.S PROXI PAEA                ;S;01;12140031;STUDIO PEIGNE MANCHE GRIP     ;0100;        5.00;       1770;          0;        812;   45.88;
88;0142;L.S PROXI PAEA                ;S;01;12140074;STYLE PINCE                   ;0100;       10.00;       2530;          0;        831;   32.85;
88;0142;L.S PROXI PAEA                ;S;01;12140075;STYLE 2 PINCES CLASIQUES MM   ;0100;        5.00;       1265;          0;        472;   37.31;
88;0142;L.S PROXI PAEA                ;S;01;12140077;STYLE 18 PINCE PUCE           ;0100;       10.00;       2530;          0;        810;   32.02;
88;0142;L.S PROXI PAEA                ;S;01;12140078;STYLE 4 PINCES  PM            ;0100;        5.00;       1265;          0;        415;   32.81;
88;0142;L.S PROXI PAEA                ;S;01;12140082;STYLE 2 PINCES CLASSIQUE GM   ;0100;       10.00;       3840;          0;       1334;   34.74;
88;0142;L.S PROXI PAEA                ;S;01;12140106;STYLE 12 ELASTIQUES VAGUELETTE;0100;        5.00;       1265;          0;        530;   41.90;
88;0142;L.S PROXI PAEA                ;S;01;12140109;STYLE 4 LIENS MOUSSE NOIR GM  ;0100;        5.00;       1265;          0;        527;   41.66;
88;0142;L.S PROXI PAEA                ;S;01;12140111;STYLE 6 LIENS TORSADES NOIR   ;0100;       15.00;       3795;          0;       1585;   41.77;
88;0142;L.S PROXI PAEA                ;S;01;12140113;STYLE 3 CHOUCHOUS CLASSIQUES  ;0100;        5.00;       1515;          0;        695;   45.87;
88;0142;L.S PROXI PAEA                ;S;01;12140132;STYLE GUICHES NOIRES          ;0100;        5.00;        860;          0;        319;   37.09;
88;0142;L.S PROXI PAEA                ;S;01;12140133;STYLE GUICHES BRONZE GM       ;0100;        5.00;        860;          0;        283;   32.91;
88;0142;L.S PROXI PAEA                ;S;01;12140168;STYLE ELASTIQUES MODE SS METAL;0100;       25.00;       6325;          0;       2652;   41.93;
88;0142;L.S PROXI PAEA                ;S;01;12140170;STYLE ELASTIQUE COULEUR SS MET;0100;       15.00;       3795;          0;       1589;   41.87;
88;0142;L.S PROXI PAEA                ;S;01;12140200;SPA FLEUR DE MASSAGE          ;0100;        5.00;       1060;          0;        388;   36.60;
88;0142;L.S PROXI PAEA                ;S;01;12340093;NAIR CIRE DIVINE RITUEL DOUCEU;0100;        4.00;       4360;          0;       1670;   38.30;
88;0142;L.S PROXI PAEA                ;S;01;12340098;NAIR CR HYD PSS 200ML         ;0100;        3.00;       2196;          0;       1016;   46.27;
88;0142;L.S PROXI PAEA                ;S;01;12340123;NAIR BD.CORPS X40 MIEL        ;0100;        6.00;       5574;          0;       2590;   46.47;
88;0142;L.S PROXI PAEA                ;S;01;12340124;NAIR BANDES CORPS CERIS X40   ;0100;        6.00;       5574;          0;       2595;   46.56;
88;0142;L.S PROXI PAEA                ;S;01;12340135;NAIR CIRE FROIDE 20BDES VISAGE;0100;        5.00;       2780;          0;       1236;   44.46;
88;0142;L.S PROXI PAEA                ;S;01;12340156;NAIR CIRE DIVINE ORCHID. 100G ;0100;        8.00;       6064;          0;       2471;   40.75;
88;0142;L.S PROXI PAEA                ;S;01;12340158;NAIR DIVINE MONOI INTENSE X   ;0100;        5.00;       5450;          0;       2085;   38.26;
88;0142;L.S PROXI PAEA                ;S;01;12340163;NAIR CIRE DIVINE 100% NAT.380G;0100;        3.00;       3270;          0;       1331;   40.70;
88;0142;L.S PROXI PAEA                ;S;01;12420630;POPSY KIT+BAD+GOB+TUBE        ;0100;        6.00;       3348;          0;       1699;   50.75;
88;0142;L.S PROXI PAEA                ;S;01;12500000;CUTICURA TALC 250GR CHP125    ;0100;        3.00;       2424;          0;       1546;   63.78;
88;0142;L.S PROXI PAEA                ;S;01;12910121;COTONEIGE PREDECOUPE 100G     ;0100;        4.00;        848;          0;        398;   46.93;
88;0142;L.S PROXI PAEA                ;S;01;12910505;COTONEIGE COTON PLUS 80 DISQUE;0100;       24.00;       4488;          0;       2256;   50.27;
88;0142;L.S PROXI PAEA                ;S;01;12910511;COTONEIGE COTON PLUS 40 CARRES;0100;       12.00;       2244;          0;       1153;   51.38;
88;0142;L.S PROXI PAEA                ;S;01;12910600;COTONEIGE 200BATONNETS OUATES ;0100;       48.00;       7296;          0;       3888;   53.29;
88;0142;L.S PROXI PAEA                ;S;01;13610110;L&G JUMBO COUCHES T4 X46      ;0100;        2.00;       3234;          0;        460;   14.22;
88;0142;L.S PROXI PAEA                ;S;01;13610130;L&G JUMBO COUCHES T5 X40      ;0100;        2.00;       3234;          0;        340;   10.51;
88;0142;L.S PROXI PAEA                ;S;01;13610140;L&G JUMBO COUCHES T6 X34      ;0100;        2.00;       3234;          0;        606;   18.74;
88;0142;L.S PROXI PAEA                ;S;01;13710000;FIXIES SINGLE 1 NEWBORN 30'   ;0105;        9.00;       5625;          0;        983;   17.48;
88;0142;L.S PROXI PAEA                ;S;01;13710004;FIXIES SINGLE 3 MIDI 24'      ;0105;       14.00;       8750;          0;       1711;   19.55;
88;0142;L.S PROXI PAEA                ;S;01;13710006;FIXIES SINGLE 4 MAXI 22'      ;0105;       16.00;      10000;          0;       1801;   18.01;
88;0142;L.S PROXI PAEA                ;S;01;13710010;FIXIES SINGLE 5 JUNIOR 18'    ;0105;       47.00;      29375;          0;       6121;   20.84;
88;0142;L.S PROXI PAEA                ;S;01;13810100;ESSUIE TOUT SUIT 63M 300F     ;0100;        4.00;       2020;          0;       1149;   56.88;
88;0142;L.S PROXI PAEA                ;S;01;21004205;D&L KIT DEFRIS. SUPER         ;0185;        6.00;       6666;          0;       3293;   49.40;
88;0142;L.S PROXI PAEA                ;S;01;21008125;BELLE COLOR 21 CHATAIN CL.DORE;0119;        6.00;       5760;          0;       3300;   57.29;
88;0142;L.S PROXI PAEA                ;S;01;21008135;BELLE COLOR 23 CHATAIN DORE   ;0119;        2.00;       1920;          0;       1093;   56.93;
88;0142;L.S PROXI PAEA                ;S;01;21008145;BELLE COLOR 28 CHATAIN MARRON ;0119;        3.00;       2880;          0;       1641;   56.98;
88;0142;L.S PROXI PAEA                ;S;01;21008150;BELLE COLOR 48 CUIVRE         ;0119;        3.00;       2880;          0;       1639;   56.91;
88;0142;L.S PROXI PAEA                ;S;01;21008165;BELLE COLOR 80 NOIR           ;0119;        1.00;          0;        960;       -415;    0.00;
88;0142;L.S PROXI PAEA                ;S;01;21008185;BELLE COLOR 02 BLOND          ;0100;        9.00;       8640;          0;       4928;   57.04;
88;0142;L.S PROXI PAEA                ;S;01;21008217;CASTING GLOS.NOIR EBENE 200   ;0102;        3.00;       3408;          0;       1786;   52.41;
88;0142;L.S PROXI PAEA                ;S;01;21008221;CASTING GLOSS AUBURN 426      ;0102;        9.00;      10224;          0;       5199;   50.85;
88;0142;L.S PROXI PAEA                ;S;01;21008225;CASTING GLOSS NOIR BLEU 210   ;0102;        2.00;       2272;          0;       1232;   54.23;
88;0142;L.S PROXI PAEA                ;S;01;21008400;DECOLORIL FORTE 3             ;0126;        9.00;      10728;          0;       5822;   54.27;
88;0142;L.S PROXI PAEA                ;S;01;21008778;100% ULTRABRUN 1 NOIR INTENSE ;0121;       18.00;       9090;          0;       5022;   55.25;
88;0142;L.S PROXI PAEA                ;S;01;21008779;100% ULTRABRUN 2.10 NOIR BLEUT;0121;        6.00;       3030;          0;       1686;   55.64;
88;0142;L.S PROXI PAEA                ;S;01;21008780;100% ULTRABRUN 3 BRUN NATUREL ;0121;        9.00;       4545;          0;       2532;   55.71;
88;0142;L.S PROXI PAEA                ;S;01;21008786;100% ULTRABRUN 4 CHAT INTENSE ;0121;        9.00;       4545;          0;       2484;   54.65;
88;0142;L.S PROXI PAEA                ;S;01;21008787;100% ULTRABRUN 4.26 VIOLET    ;0121;        9.00;       4545;          0;       2529;   55.64;
88;0142;L.S PROXI PAEA                ;S;01;21008788;100% ULTRABRUN 4,3 CHAT DORE  ;0121;        6.00;       3030;          0;       1689;   55.74;
88;0142;L.S PROXI PAEA                ;S;01;21008792;100% ULTRABRUN 5 CHAT CLAIR   ;0121;        3.00;       1515;          0;        843;   55.64;
88;0142;L.S PROXI PAEA                ;S;01;21008794;100% ULTRABRUN 5.62 AUBRUN    ;0121;       12.00;       6060;          0;       3372;   55.64;
88;0142;L.S PROXI PAEA                ;S;01;21008800;100% ULTRABRUN 7.4 CUIVRE     ;0100;        3.00;       1515;          0;        846;   55.84;
88;0142;L.S PROXI PAEA                ;S;01;21008838;100% ULTRABRUN KIT RAC 3 CHATF;0121;        6.00;       2544;          0;       1381;   54.28;
88;0142;L.S PROXI PAEA                ;S;01;21009005;DOP SHP AUX OEUFS 400ML       ;0144;       12.00;       2976;          0;        814;   27.35;
88;0142;L.S PROXI PAEA                ;S;01;21009025;DOP SHP VITAMINE 400ML        ;0144;       10.00;       2480;          0;        735;   29.64;
88;0142;L.S PROXI PAEA                ;S;01;21009045;DOP SHP HUILE ARGAN 2/1 400ML ;0144;       20.00;       4960;          0;       1367;   27.56;
88;0142;L.S PROXI PAEA                ;S;01;21009046;DOP SHP 2/1 AMANDE DOUCE 400ML;0144;        8.00;       1984;          0;        521;   26.26;
88;0142;L.S PROXI PAEA                ;S;01;21009050;DOP SHP 2EN1 SOIE 400ML       ;0144;        0.00;          0;          0;          0;    0.00;
88;0142;L.S PROXI PAEA                ;S;01;21009054;DOP SHP AVOCAT 400ML          ;0144;        4.00;        992;          0;        259;   26.11;
88;0142;L.S PROXI PAEA                ;S;01;21009056;DOP SHP CONCOMBRE 400ML       ;0144;        4.00;        992;          0;        295;   29.74;
88;0142;L.S PROXI PAEA                ;S;01;21009065;F.PROVO STU SHP HUILE 400ML   ;0146;        6.00;       4848;          0;       2440;   50.33;
88;0142;L.S PROXI PAEA                ;S;01;21009075;F.PROVOST SHP REPARATION 750ML;0146;        4.00;       3232;          0;       1575;   48.73;
88;0142;L.S PROXI PAEA                ;S;01;21009079;F.PROVOST SHP XPERT.PROT.750ML;0100;        3.00;       2424;          0;       1186;   48.93;
88;0142;L.S PROXI PAEA                ;S;01;21009080;F.PROVOST SHP EXPERT.NUT 750ML;0146;        4.00;       3232;          0;       1601;   49.54;
88;0142;L.S PROXI PAEA                ;S;01;21009104;ELSEVE SHP HUILE CHV T SEC 250;0101;        4.00;       1820;          0;        830;   45.60;
88;0142;L.S PROXI PAEA                ;S;01;21009105;ELSEVE SHP HUILE COCO 250ML   ;0101;        4.00;       1820;          0;        880;   48.35;
88;0142;L.S PROXI PAEA                ;S;01;21009108;ELSEVE SHP ARGILE CH NORM 250M;0101;        3.00;       1365;          0;        628;   46.01;
88;0142;L.S PROXI PAEA                ;S;01;21009127;ELSEVE SHP TOT REPAIR 5 290ML ;0100;        6.00;       2730;          0;       1180;   43.22;
88;0142;L.S PROXI PAEA                ;S;01;21009128;ELSEVE SHP MULTIVITA 2/1 290ML;0100;        4.00;       1820;          0;        787;   43.24;
88;0142;L.S PROXI PAEA                ;S;01;21009160;FRUCTIS SHP 2EN1 CH.NORM.250ML;0118;        6.00;       2610;          0;       1313;   50.31;
88;0142;L.S PROXI PAEA                ;S;01;21009191;FRUCTIS SHP CONCOMBRE 250ML   ;0118;        4.00;       1740;          0;        879;   50.52;
88;0142;L.S PROXI PAEA                ;S;01;21009192;FRUCTIS SHP ALOE 250ML        ;0118;        9.00;       3915;          0;       1962;   50.11;
88;0142;L.S PROXI PAEA                ;S;01;21009207;U.DOUX SHP COCO 250ML         ;0117;        3.00;       1212;          0;        618;   50.99;
88;0142;L.S PROXI PAEA                ;S;01;21009208;U.DOUX SHP OLIVE MYTHIC 250ML ;0117;        4.00;       1616;          0;        808;   50.00;
88;0142;L.S PROXI PAEA                ;S;01;21009210;U.DOUX SHP AVOCAT/KARITE 250ML;0117;        7.00;       2828;          0;       1381;   48.83;
